"年","月","日","都道府県","PCR検査陽性者数","PCR検査人数","患者数（2020年3月28日からは感染者数）","現在は入院等","退院者","死亡者"
2020,3,20,"岡山",0,181,0,0,0,0
2020,3,20,"広島",2,569,2,1,1,0
2020,3,20,"山口",3,164,1,1,0,0
2020,3,20,"徳島",1,83,0,0,0,0
2020,3,20,"香川",1,133,1,1,0,0
2020,3,20,"愛媛",3,181,2,1,1,0
2020,3,20,"高知",12,270,11,0,11,0
2020,3,20,"福岡",5,626,5,3,2,0
2020,3,20,"佐賀",1,102,1,1,0,0
2020,3,20,"長崎",1,213,0,0,0,0
2020,3,20,"熊本",7,476,6,6,0,0
2020,3,20,"大分",8,175,6,5,1,0
2020,3,20,"宮崎",3,179,3,3,0,0
2020,3,20,"鹿児島",0,171,0,0,0,0
2020,3,20,"沖縄",3,238,3,1,2,0
2020,3,21,"北海道",159,1652,158,71,81,6
2020,3,21,"青森",0,88,0,0,0,0
2020,3,21,"岩手",0,29,0,0,0,0
2020,3,21,"宮城",1,150,1,0,1,0
2020,3,21,"秋田",2,114,1,0,1,0
2020,3,21,"山形",0,133,0,0,0,0
2020,3,21,"福島",2,132,2,2,0,0
2020,3,21,"茨城",3,464,3,3,0,0
2020,3,21,"栃木",4,263,4,3,1,0
2020,3,21,"群馬",11,174,11,11,0,0
2020,3,21,"埼玉",44,684,41,34,7,0
2020,3,21,"千葉",42,0,40,26,14,0
2020,3,21,"東京",136,1956,130,101,31,4
2020,3,21,"神奈川",68,0,61,45,12,4
2020,3,21,"新潟",26,647,22,20,2,0
2020,3,21,"富山",0,54,0,0,0,0
2020,3,21,"石川",8,176,6,3,3,0
2020,3,21,"福井",1,97,1,1,0,0
2020,3,21,"山梨",2,338,2,2,0,0
2020,3,21,"長野",4,306,3,2,1,0
2020,3,21,"岐阜",3,279,3,2,1,0
2020,3,21,"静岡",3,0,3,2,1,0
2020,3,21,"愛知",141,847,132,108,8,16
2020,3,21,"三重",9,318,6,5,1,0
2020,3,21,"滋賀",4,144,4,4,0,0
2020,3,21,"京都",22,813,19,12,7,0
2020,3,21,"大阪",125,0,108,81,26,1
2020,3,21,"兵庫",106,1126,81,75,2,4
2020,3,21,"奈良",8,184,4,2,2,0
2020,3,21,"和歌山",17,1112,15,5,9,1
2020,3,21,"鳥取",0,115,0,0,0,0
2020,3,21,"島根",0,92,0,0,0,0
2020,3,21,"岡山",0,181,0,0,0,0
2020,3,21,"広島",2,579,2,1,1,0
2020,3,21,"山口",3,166,1,1,0,0
2020,3,21,"徳島",1,83,0,0,0,0
2020,3,21,"香川",1,142,1,1,0,0
2020,3,21,"愛媛",3,181,2,1,1,0
2020,3,21,"高知",12,272,11,0,11,0
2020,3,21,"福岡",5,637,5,3,2,0
2020,3,21,"佐賀",1,102,1,1,0,0
2020,3,21,"長崎",1,213,0,0,0,0
2020,3,21,"熊本",7,487,6,5,1,0
2020,3,21,"大分",13,175,11,10,1,0
2020,3,21,"宮崎",3,186,3,3,0,0
2020,3,21,"鹿児島",0,171,0,0,0,0
2020,3,21,"沖縄",3,238,3,1,2,0
2020,3,22,"北海道",162,1652,161,72,83,6
2020,3,22,"青森",0,90,0,0,0,0
2020,3,22,"岩手",0,29,0,0,0,0
2020,3,22,"宮城",1,150,1,0,1,0
2020,3,22,"秋田",2,114,1,0,1,0
2020,3,22,"山形",0,133,0,0,0,0
2020,3,22,"福島",2,132,2,2,0,0
2020,3,22,"茨城",3,464,3,3,0,0
2020,3,22,"栃木",4,263,4,2,2,0
2020,3,22,"群馬",11,174,11,10,0,1
2020,3,22,"埼玉",50,684,45,34,10,1
2020,3,22,"千葉",44,0,42,27,15,0
2020,3,22,"東京",138,1957,132,103,31,4
2020,3,22,"神奈川",74,0,67,49,14,4
2020,3,22,"新潟",26,648,22,19,3,0
2020,3,22,"富山",0,55,0,0,0,0
2020,3,22,"石川",8,179,6,3,3,0
2020,3,22,"福井",1,98,1,1,0,0
2020,3,22,"山梨",2,338,2,1,1,0
2020,3,22,"長野",4,306,3,2,1,0
2020,3,22,"岐阜",5,281,5,4,1,0
2020,3,22,"静岡",3,0,3,2,1,0
2020,3,22,"愛知",143,847,134,111,8,16
2020,3,22,"三重",9,318,6,4,2,0
2020,3,22,"滋賀",4,144,4,4,0,0
2020,3,22,"京都",23,815,20,13,7,0
2020,3,22,"大阪",131,0,113,85,26,2
2020,3,22,"兵庫",110,1127,83,76,2,5
2020,3,22,"奈良",9,187,5,3,2,0
2020,3,22,"和歌山",17,1118,15,5,9,1
2020,3,22,"鳥取",0,115,0,0,0,0
2020,3,22,"島根",0,95,0,0,0,0
2020,3,22,"岡山",1,181,1,1,0,0
2020,3,22,"広島",3,609,3,2,1,0
2020,3,22,"山口",4,170,2,2,0,0
2020,3,22,"徳島",1,83,0,0,0,0
2020,3,22,"香川",1,147,1,1,0,0
2020,3,22,"愛媛",3,181,2,1,1,0
2020,3,22,"高知",12,279,11,0,11,0
2020,3,22,"福岡",5,642,5,3,2,0
2020,3,22,"佐賀",1,103,1,1,0,0
2020,3,22,"長崎",1,213,0,0,0,0
2020,3,22,"熊本",7,490,6,5,1,0
2020,3,22,"大分",17,175,15,14,1,0
2020,3,22,"宮崎",3,189,3,3,0,0
2020,3,22,"鹿児島",0,171,0,0,0,0
2020,3,22,"沖縄",3,238,3,1,2,0
2020,3,23,"北海道",162,1775,161,65,90,6
2020,3,23,"青森",2,83,2,2,0,0
2020,3,23,"岩手",0,37,0,0,0,0
2020,3,23,"宮城",1,161,1,0,1,0
2020,3,23,"秋田",2,121,1,0,1,0
