"year","month","date","pref","testedPositive","peopleTested","hospitalized","serious","discharged","deaths"
2020,3,18,"長野",4,295,3,0,0,0
2020,3,18,"岐阜",3,270,2,0,1,0
2020,3,18,"静岡",3,0,2,0,1,0
2020,3,18,"愛知",130,1103,106,0,3,14
2020,3,18,"三重",8,277,4,0,1,0
2020,3,18,"滋賀",4,140,4,0,0,0
2020,3,18,"京都",20,770,11,0,6,0
2020,3,18,"大阪",117,0,78,0,22,0
2020,3,18,"兵庫",90,1020,66,0,0,3
2020,3,18,"奈良",8,163,2,0,2,0
2020,3,18,"和歌山",15,1090,4,0,8,1
2020,3,18,"鳥取",0,110,0,0,0,0
2020,3,18,"島根",0,86,0,0,0,0
2020,3,18,"岡山",0,175,0,0,0,0
2020,3,18,"広島",1,521,0,0,1,0
2020,3,18,"山口",3,157,1,0,0,0
2020,3,18,"徳島",1,79,0,0,0,0
2020,3,18,"香川",1,122,1,0,0,0
2020,3,18,"愛媛",3,181,1,0,1,0
2020,3,18,"高知",12,267,5,0,6,0
2020,3,18,"福岡",4,610,3,0,1,0
2020,3,18,"佐賀",1,91,1,0,0,0
2020,3,18,"長崎",1,200,0,0,0,0
2020,3,18,"熊本",6,393,5,0,0,0
2020,3,18,"大分",1,163,0,0,1,0
2020,3,18,"宮崎",3,143,3,0,0,0
2020,3,18,"鹿児島",0,0,0,0,0,0
2020,3,18,"沖縄",3,230,1,0,2,0
2020,3,19,"北海道",157,1652,80,0,69,6
2020,3,19,"青森",0,79,0,0,0,0
2020,3,19,"岩手",0,29,0,0,0,0
2020,3,19,"宮城",1,144,0,0,1,0
2020,3,19,"秋田",2,114,0,0,1,0
2020,3,19,"山形",0,133,0,0,0,0
2020,3,19,"福島",2,132,2,0,0,0
2020,3,19,"茨城",3,464,3,0,0,0
2020,3,19,"栃木",3,263,1,0,1,0
2020,3,19,"群馬",10,173,10,0,0,0
2020,3,19,"埼玉",38,684,32,0,4,0
2020,3,19,"千葉",36,0,25,0,9,0
2020,3,19,"東京",118,1858,85,9,31,2
2020,3,19,"神奈川",68,0,47,0,6,4
2020,3,19,"新潟",21,647,16,0,1,0
2020,3,19,"富山",0,54,0,0,0,0
2020,3,19,"石川",7,171,3,0,2,0
2020,3,19,"福井",1,92,1,0,0,0
2020,3,19,"山梨",2,335,2,0,0,0
2020,3,19,"長野",4,306,3,0,0,0
2020,3,19,"岐阜",3,272,2,0,1,0
2020,3,19,"静岡",3,0,2,0,1,0
2020,3,19,"愛知",134,1103,110,0,3,14
2020,3,19,"三重",9,318,5,0,1,0
2020,3,19,"滋賀",4,144,4,0,0,0
